skill_id,skill_name
0,ACADEMIA
1,ACCOUNTING
2,AGILE
3,ALGORITHMS
4,ALTERYX
5,ANALYSIS
6,ANALYTICS
7,ANDROID
8,ANGULAR
9,AWS
10,AWSREDSHIFT
11,AZURE
12,BACHELORS
13,BAYESIAN
14,BDP
15,BIGDATA
16,BIOLOGY
17,BLOCKCHAIN
18,BUSINESS
19,C
20,CHATBOT
21,CLASSIFICATION
22,CLOUD
23,CLUSTERING
24,CNN
25,COMMUNICATION
26,COMPUTERSCIENCE
27,COMPUTERVISION
28,CPLEX
29,CPP
30,CRM
31,CSHARP
32,CSS
33,CUSTOMERSERVICE
34,DATABRICKS
35,DATAMINING
36,DATASCIENCE
37,DECISIONTREE
38,DEEPLEARNING
39,DIPLOMA
40,DOMO
41,ECONOMICS
42,ENGINEERING
43,ETL
44,EXCEL
45,FINANCE
46,FLINK
47,FLOW
48,GCP
49,GGPLOT
50,GIS
51,GO
52,GRADIENTBOOSTING
53,HADOOP
54,HIVE
55,HTML
56,IBMCONGOS
57,IOS
58,JAVA
59,JAVASCRIPT
60,KERAS
61,KUBERNETES
62,LINUX
63,LOGISTICS
64,MACHINELEARNING
65,MACOS
66,MANAGEMENT
67,MAP
68,MAPR
69,MASTERS
70,MATHS
71,METADATA
72,MODELLING
73,MONGODB
74,MS
75,MYSQL
76,NAÏVEBAYES
77,NEURALNETWORKS
78,NEUROSCIENCE
79,NLP
80,NODEJS
81,NOSQL
82,NUMPY
83,OLAP
84,OOZIE
85,ORACLE
86,PANDAS
87,PARSING
88,PHD
89,PHYSICS
90,PMP
91,POSTGRESQL
92,POWERBI
93,PROBLEMSOLVING
94,PROGRAMMING
95,PYTHON
96,PYTORCH
97,QUANTITATIVEANALYSIS
98,R
99,RANDOMFORESTS
100,RDBMS
101,REACT
102,REDUCE
103,REGRESSION
104,RESEARCH
105,RUBY
106,SAGEMAKER
107,SAS
108,SCALA
109,SCIKITLEARN
110,SCRUM
111,SECURITY
112,SHELL
113,SHOWFLAKE
114,SOFTWAREENGINEERING
115,SPACY
116,SPARK
117,SPRINGXD
118,SQL
119,STATA
120,STATISTICS
121,STORYTELLING
122,SWIFT
123,TABLEAU
124,TABLEAUPOWERBI
125,TENSORFLOW
126,TERADATA
127,TYPESCRIPT
128,UI
129,VBA
130,VERBAL
131,VISUALISATION
132,VUEJS
133,WRITING
134,XGBOOST
